Stock1,Stock2,AvgDelay
AAPL,KO,30.26163919100107
AMZN,KO,33.5
LIN,AAPL,28.170186626687965
AMZN,LIN,29.384615384615383
LLY,AMZN,26.666666666666668
AAPL,MCD,29.128970237435585
AMZN,MCD,19.173076923076923
AMZN,MDT,28.16949152542373
MRK,AMZN,28.654545454545456
AAPL,NEE,31.415429447727607
AMZN,NEE,31.280701754385966
NFLX,AMZN,29.044117647058822
NKE,AMZN,20.789473684210527
AAPL,NVDA,35.55111568495208
NVDA,AMZN,36.157534246575345
AMZN,ORCL,34.717171717171716
PEP,AMZN,29.92982456140351
PFE,AMZN,33.71153846153846
AMZN,QCOM,26.483333333333334
T,AAPL,31.92278472398737
T,AMZN,33.65151515151515
TMO,AMZN,29.25
TXN,AMZN,28.964285714285715
AAPL,UNH,30.942748955484777
AMZN,UNH,30.131147540983605
AMZN,VZ,25.8125
AMZN,WMT,21.763157894736842
AMZN,XOM,33.98461538461538
CL=F,AMZN,33.568627450980394
GLD,AMZN,32.85294117647059
SLV,AAPL,33.02661071811897
BMY,BRK-B,36.75925925925926
CMCSA,BMY,27.0
BMY,COST,44.71153846153846
CRM,BMY,30.163265306122447
BMY,CSCO,28.0
CVX,AAPL,31.28642505092294
BMY,CVX,34.98076923076923
DHR,BMY,21.509090909090908
BMY,GOOGL,23.138364779874212
BMY,HD,34.440677966101696
HON,AAPL,26.16326198985739
HON,BMY,41.69491525423729
IBM,BMY,29.080645161290324
BMY,JNJ,21.166666666666668
LIN,BMY,34.45333333333333
LLY,BMY,30.517241379310345
AAPL,MDT,25.35865628661676
MDT,BMY,20.5
MRK,BMY,21.51851851851852
BMY,MSFT,34.232142857142854
NEE,BMY,32.166666666666664
NFLX,AAPL,31.058531461140028
BMY,NFLX,29.220338983050848
NKE,BMY,27.8135593220339
ORCL,AAPL,26.22400220599646
ORCL,BMY,28.357142857142858
PEP,BMY,28.87272727272727
BMY,PG,25.327272727272728
BMY,QCOM,25.48148148148148
RTX,BMY,30.666666666666668
T,BMY,29.142857142857142
TXN,BMY,29.75438596491228
UNH,BMY,27.193548387096776
BMY,VZ,18.537037037037038
BMY,XOM,31.189655172413794
BMY,CL=F,31.746031746031747
GLD,BMY,39.5
BMY,SLV,30.60377358490566
CMCSA,BRK-B,23.78787878787879
COST,AAPL,30.02895565071052
BRK-B,CRM,23.763636363636362
CSCO,BRK-B,28.70689655172414
BRK-B,DHR,31.39344262295082
DIS,AAPL,27.328294004764878
DIS,BRK-B,33.234375
GOOGL,BRK-B,29.620689655172413
BRK-B,HD,24.596153846153847
BRK-B,HON,18.70909090909091
KO,BRK-B,27.0
LLY,BRK-B,24.49122807017544
BRK-B,MDT,27.566666666666666
MRK,BRK-B,30.719298245614034
BRK-B,NKE,33.564516129032256
BRK-B,NVDA,37.22
ORCL,BRK-B,25.238095238095237
AAPL,PEP,27.56114476070842
PEP,BRK-B,35.0
BRK-B,PFE,34.371428571428574
BRK-B,QCOM,24.583333333333332
RTX,BRK-B,40.59615384615385
TMO,BRK-B,24.353846153846153
TXN,BRK-B,31.639344262295083
XOM,AAPL,32.32869886387478
BRK-B,XOM,26.16393442622951
CL=F,BRK-B,26.92156862745098
BRK-B,GLD,35.0
BRK-B,SLV,35.71186440677966
COST,CMCSA,28.728571428571428
CRM,CMCSA,24.170212765957448
CSCO,CMCSA,31.73469387755102
CVX,CMCSA,28.047619047619047
CMCSA,DIS,22.579710144927535
GOOGL,CMCSA,19.52542372881356
CMCSA,HD,38.3921568627451
CMCSA,HON,34.74242424242424
CMCSA,IBM,41.7938596491228
INTC,CMCSA,21.839285714285715
JNJ,CMCSA,32.204081632653065
CMCSA,KO,17.532258064516128
LIN,CMCSA,25.396825396825395
LLY,CMCSA,26.8
CMCSA,MA,31.417989417989418
CMCSA,MCD,28.257575757575758
CMCSA,MDT,29.085714285714285
CMCSA,MRK,24.13888888888889
CMCSA,NEE,18.28846153846154
CMCSA,NVDA,40.128571428571426
ORCL,CMCSA,24.38095238095238
PEP,CMCSA,28.2
PFE,CMCSA,33.56140350877193
CMCSA,PG,32.76229508196721
CMCSA,QCOM,26.939393939393938
RTX,CMCSA,27.774193548387096
CMCSA,TMO,24.984375
TXN,CMCSA,32.125
CMCSA,UNH,36.84285714285714
CMCSA,VZ,25.169811320754718
WMT,AAPL,32.523940341549086
CMCSA,WMT,25.323076923076922
CMCSA,XOM,35.27272727272727
CMCSA,GLD,31.014084507042252
CMCSA,SLV,33.79032258064516
CSCO,COST,31.96825396825397
COST,CVX,32.234375
COST,DHR,34.574074074074076
COST,GOOGL,23.174603174603174
HD,COST,39.90909090909091
HON,COST,20.654545454545456
INTC,COST,24.833333333333332
JNJ,COST,28.654545454545456
COST,KO,33.357142857142854
COST,LLY,21.618181818181817
MA,COST,39.87719298245614
MCD,COST,22.907692307692308
MDT,COST,29.322033898305083
MRK,COST,32.95454545454545
MSFT,COST,23.607142857142858
NEE,COST,28.233333333333334
NFLX,COST,34.01470588235294
NKE,COST,33.0655737704918
NVDA,COST,31.162790697674417
COST,ORCL,30.921875
COST,PEP,30.017543859649123
PFE,COST,37.79365079365079
PG,COST,37.327683615819204
COST,QCOM,27.563636363636363
RTX,COST,36.392857142857146
COST,T,38.59090909090909
COST,TMO,31.24074074074074
COST,TXN,31.678571428571427
UNH,COST,34.78947368421053
COST,VZ,31.370967741935484
COST,WMT,25.62686567164179
COST,XOM,31.94736842105263
CL=F,COST,29.949152542372882
GLD,COST,30.606060606060606
COST,SLV,33.0
CRM,CVX,36.88405797101449
DHR,CRM,20.317460317460316
DIS,CRM,23.89041095890411
AAPL,GOOGL,24.755724092469272
GOOGL,CRM,20.88235294117647
CRM,HD,33.11666666666667
INTC,CRM,31.56756756756757
JNJ,CRM,22.573529411764707
KO,CRM,29.890625
CRM,LIN,21.64
CRM,LLY,35.024509803921575
CRM,MA,26.163636363636364
CRM,MDT,26.8
CRM,MRK,33.40350877192982
CRM,MSFT,23.392857142857142
CRM,NEE,27.220338983050848
NFLX,CRM,32.390625
NKE,CRM,19.413793103448278
CRM,NVDA,35.361702127659576
ORCL,CRM,35.01960784313726
CRM,PEP,37.03389830508475
PFE,CRM,35.330303030303035
CRM,QCOM,24.015873015873016
RTX,CRM,18.903846153846153
T,CRM,31.34328358208955
CRM,TMO,22.3015873015873
TXN,CRM,19.40740740740741
UNH,CRM,30.375
WMT,CRM,34.56666666666667
CRM,XOM,31.614035087719298
CL=F,CRM,29.390625
GLD,CRM,41.65
CRM,SLV,27.741935483870968
CVX,CSCO,30.43661971830986
DHR,CSCO,25.483870967741936
DIS,CSCO,29.86842105263158
CSCO,GOOGL,16.09433962264151
CSCO,HD,20.16176470588235
HON,CSCO,27.85
IBM,CSCO,32.0
INTC,CSCO,20.705882352941178
CSCO,JNJ,31.37704918032787
CSCO,KO,28.611940298507463
LIN,CSCO,28.535714285714285
CSCO,LLY,21.19607843137255
CSCO,MA,44.8448275862069
MDT,CSCO,30.392857142857142
MRK,CSCO,22.79032258064516
MSFT,CSCO,25.924242424242426
NEE,CSCO,32.0
NFLX,CSCO,30.567164179104477
NKE,CSCO,33.074074074074076
CSCO,PFE,22.448275862068964
CSCO,PG,31.476190476190474
CSCO,QCOM,26.727272727272727
CSCO,RTX,34.41269841269841
CSCO,TMO,34.8125
CSCO,TXN,32.41095890410959
CSCO,UNH,34.55072463768116
VZ,CSCO,27.305084745762713
WMT,CSCO,33.964285714285715
XOM,CSCO,27.125
AAPL,CL=F,34.69899014495256
CSCO,CL=F,43.54666666666667
CSCO,SLV,32.406060606060606
CVX,DHR,31.263157894736842
CVX,DIS,24.54901960784314
GOOGL,CVX,19.425531914893618
CVX,HD,44.193548387096776
HON,CVX,34.0
CVX,JNJ,28.672131147540984
CVX,KO,39.55555555555556
CVX,LIN,29.408163265306122
CVX,MA,23.319148936170212
CVX,MCD,31.791666666666668
CVX,MRK,24.43548387096774
MSFT,CVX,31.766666666666666
CVX,NEE,24.173333333333332
CVX,NFLX,34.839285714285715
NKE,CVX,30.75
CVX,NVDA,31.857142857142858
ORCL,CVX,24.962264150943398
PEP,CVX,31.650793650793652
PFE,CVX,28.93103448275862
CVX,PG,22.560606060606062
CVX,T,34.80952380952381
TMO,CVX,35.95161290322581
TXN,CVX,28.264150943396228
CVX,UNH,26.078125
VZ,CVX,36.62903225806452
CVX,XOM,16.192307692307693
CL=F,CVX,28.603448275862068
CVX,SLV,34.865671641791046
DHR,DIS,28.825136612021858
DHR,GOOGL,30.133333333333333
DHR,HD,29.678571428571427
IBM,DHR,34.20454545454545
INTC,DHR,21.035714285714285
DHR,JNJ,27.714285714285715
KO,DHR,29.8
MA,DHR,29.26530612244898
DHR,MCD,35.62264150943396
DHR,MDT,32.29032258064516
MRK,DHR,22.322580645161292
DHR,MSFT,17.53061224489796
NKE,DHR,25.41304347826087
NVDA,DHR,30.725806451612904
DHR,PEP,23.59090909090909
DHR,PFE,23.73134328358209
DHR,PG,23.419354838709676
QCOM,DHR,23.567164179104477
RTX,DHR,18.88888888888889
T,DHR,35.964285714285715
TMO,DHR,26.01923076923077
TXN,DHR,32.21739130434783
UNH,DHR,29.225806451612904
XOM,DHR,31.43502824858757
CL=F,DHR,34.06666666666667
DHR,GLD,28.921875
SLV,DHR,40.507462686567166
DIS,GOOGL,34.80392156862745
DIS,HD,35.03225806451613
HON,DIS,24.433333333333334
IBM,DIS,31.233333333333334
INTC,DIS,29.957142857142856
JNJ,DIS,19.71232876712329
LIN,DIS,18.433962264150942
LLY,DIS,30.10144927536232
DIS,MA,33.63793103448276
DIS,MCD,29.849206349206348
DIS,MDT,21.49206349206349
MRK,DIS,24.742857142857144
MSFT,DIS,19.50793650793651
NEE,DIS,46.07017543859649
DIS,NFLX,27.33823529411765
NKE,DIS,18.528301886792452
DIS,NVDA,43.032786885245905
ORCL,DIS,30.9811320754717
PEP,DIS,23.83050847457627
DIS,PG,17.105263157894736
QCOM,DIS,19.0188679245283
RTX,DIS,27.185185185185187
DIS,T,33.59090909090909
DIS,TMO,34.276923076923076
DIS,TXN,26.360655737704917
UNH,DIS,28.815384615384616
VZ,DIS,25.484848484848484
XOM,DIS,18.979166666666668
DIS,GLD,40.25806451612903
DIS,SLV,21.424242424242426
GOOGL,HD,21.55
HON,GOOGL,32.15625
GOOGL,INTC,24.892307692307693
JNJ,GOOGL,17.683333333333334
KO,GOOGL,27.603174603174605
LIN,GOOGL,32.553333333333335
GOOGL,LLY,27.066666666666666
MA,GOOGL,21.533333333333335
GOOGL,MCD,19.433962264150942
MSFT,GOOGL,22.779661016949152
NEE,GOOGL,19.50793650793651
GOOGL,NFLX,28.114754098360656
NKE,GOOGL,29.536231884057973
GOOGL,NVDA,34.46666666666667
GOOGL,ORCL,22.21311475409836
PEP,GOOGL,25.350877192982455
PFE,GOOGL,34.96153846153846
GOOGL,PG,27.02020202020202
QCOM,GOOGL,22.11764705882353
GOOGL,T,29.634920634920636
TXN,GOOGL,24.15625
VZ,GOOGL,33.89247311827957
WMT,GOOGL,21.77358490566038
XOM,GOOGL,26.516129032258064
GOOGL,GLD,37.392857142857146
SLV,GOOGL,34.214285714285715
HON,HD,22.94736842105263
HD,IBM,26.65
INTC,HD,30.0
JNJ,HD,28.632653061224488
HD,KO,26.80952380952381
LIN,HD,32.333333333333336
LLY,HD,23.339285714285715
MA,HD,25.29824561403509
MDT,HD,27.580645161290324
MRK,HD,30.46031746031746
HD,MSFT,25.01923076923077
HD,NEE,25.149253731343283
HD,NFLX,29.215384615384615
HD,NKE,36.23880597014925
NVDA,HD,37.271186440677965
ORCL,HD,27.181818181818183
HD,PEP,25.73469387755102
PFE,HD,27.19736842105263
HD,PG,23.24590163934426
HD,QCOM,27.949152542372882
HD,RTX,29.78181818181818
T,HD,42.98907103825136
VZ,HD,34.016129032258064
HD,WMT,38.700421940928265
XOM,HD,31.5
GLD,HD,42.76712328767123
SLV,HD,33.44444444444444
HON,IBM,40.03846153846154
INTC,HON,36.68115942028985
HON,KO,25.318840579710145
LLY,HON,25.016949152542374
MCD,HON,21.79032258064516
MRK,HON,27.660377358490567
MSFT,HON,26.672131147540984
HON,NEE,30.577464788732396
NFLX,HON,33.55223880597015
NKE,HON,26.507462686567163
ORCL,HON,30.41269841269841
HON,PEP,21.745454545454546
PFE,HON,35.507936507936506
PG,HON,35.91379310344828
QCOM,HON,26.132183908045977
RTX,HON,21.358974358974358
HON,T,41.70422535211268
HON,TMO,33.836363636363636
HON,TXN,25.42
UNH,HON,24.6
HON,VZ,29.517857142857142
WMT,HON,31.87878787878788
HON,XOM,28.316666666666666
HON,GLD,38.83582089552239
HON,SLV,32.784615384615385
INTC,IBM,32.51470588235294
JNJ,IBM,40.375
KO,IBM,36.46078431372548
LLY,IBM,33.306451612903224
MA,IBM,36.0
IBM,MCD,35.983050847457626
MDT,IBM,31.915254237288135
MSFT,IBM,25.1231884057971
NEE,IBM,30.4
IBM,NFLX,30.896551724137932
IBM,ORCL,31.305084745762713
PEP,IBM,22.532258064516128
IBM,PFE,35.732394366197184
QCOM,IBM,17.71153846153846
RTX,IBM,27.775862068965516
T,IBM,39.59154929577465
TMO,IBM,20.861538461538462
IBM,TXN,27.73913043478261
UNH,IBM,29.728813559322035
XOM,IBM,32.30909090909091
IBM,CL=F,33.732394366197184
IBM,SLV,33.898305084745765
JNJ,INTC,27.403225806451612
INTC,LIN,32.43939393939394
LLY,INTC,22.083333333333332
MA,INTC,33.0377358490566
MCD,INTC,32.078125
MDT,INTC,26.71698113207547
INTC,MRK,23.3125
INTC,MSFT,19.89090909090909
INTC,NEE,22.455882352941178
INTC,NKE,22.836363636363636
INTC,NVDA,38.5
INTC,ORCL,30.17241379310345
INTC,PEP,30.839285714285715
INTC,PFE,27.03448275862069
INTC,QCOM,20.683333333333334
INTC,RTX,36.32786885245902
T,INTC,38.529411764705884
INTC,TMO,41.94230769230769
INTC,TXN,27.537037037037038
UNH,INTC,35.68421052631579
INTC,VZ,31.731182795698924
CL=F,INTC,35.67567567567568
INTC,GLD,35.171875
INTC,SLV,34.857142857142854
JNJ,KO,21.274193548387096
LIN,JNJ,37.8
LLY,JNJ,25.236363636363638
JNJ,MA,29.107142857142858
MCD,JNJ,23.06153846153846
JNJ,MDT,31.044776119402986
MRK,JNJ,32.232142857142854
JNJ,MSFT,22.080645161290324
NEE,JNJ,34.92982456140351
JNJ,NFLX,33.629629629629626
JNJ,NKE,22.903846153846153
JNJ,NVDA,45.3469387755102
ORCL,JNJ,25.442307692307693
JNJ,PEP,30.87878787878788
JNJ,PFE,30.053333333333335
JNJ,PG,24.859375
JNJ,QCOM,24.327272727272728
JNJ,T,35.21621621621622
TMO,JNJ,25.607142857142858
TXN,JNJ,28.196428571428573
UNH,JNJ,25.70175438596491
VZ,JNJ,30.379310344827587
JNJ,WMT,28.857142857142858
XOM,JNJ,30.97142857142857
JNJ,GLD,31.246153846153845
JNJ,SLV,30.723684210526315
KO,LIN,35.6
KO,LLY,35.95454545454545
KO,MA,36.84285714285714
KO,MRK,27.084745762711865
MSFT,KO,20.553846153846155
NFLX,KO,34.37735849056604
NKE,KO,23.666666666666668
NVDA,KO,38.453125
KO,ORCL,28.559523809523807
PEP,KO,19.485714285714284
KO,PFE,19.50793650793651
KO,PG,24.419354838709676
KO,QCOM,27.282857142857143
RTX,KO,27.379310344827587
KO,T,30.17241379310345
TXN,KO,29.641509433962263
