Stock1,Stock2,AvgDelay
ABT,AAPL,29.2267372928082
ACN,AAPL,27.499214884759695
ACN,ABT,25.733333333333334
ADBE,AAPL,28.96511218640514
ADBE,ABT,29.696969696969695
AAPL,AMZN,23.4680117755542
AMZN,ABT,28.8135593220339
AAPL,ABT,27.257870672758006
BMY,AAPL,30.463330463448393
BMY,ABT,33.449230769230766
BRK-B,AAPL,31.064384584882387
ABT,BRK-B,32.056338028169016
AAPL,CMCSA,27.72980471896148
CMCSA,ABT,27.642857142857142
AAPL,COST,28.523938651282332
CRM,AAPL,26.885194702024254
CRM,ABT,36.41379310344828
CSCO,AAPL,29.58030457820301
CVX,ABT,28.6984126984127
AAPL,DHR,25.21950296694488
ABT,DHR,20.22222222222222
AAPL,DIS,27.903158517367263
ABT,DIS,34.17391304347826
GOOGL,ABT,15.686274509803921
HD,AAPL,30.05467377229275
HD,ABT,21.471698113207548
AAPL,HON,27.879929559566108
ABT,HON,26.783333333333335
IBM,AAPL,29.082352931159786
ABT,IBM,25.82089552238806
AAPL,INTC,27.133049976161306
ABT,INTC,21.421875
JNJ,AAPL,27.743102105444734
KO,AAPL,31.225838046164277
AAPL,LIN,28.922616776947784
LIN,ABT,22.70967741935484
AAPL,LLY,28.62397381224431
ABT,LLY,26.96551724137931
MA,AAPL,26.15709466016192
MA,ABT,35.46774193548387
MDT,AAPL,27.065295751253572
MDT,ABT,31.833333333333332
MRK,AAPL,27.66145342117587
ABT,MRK,24.919354838709676
AAPL,MSFT,24.46022883352235
ABT,MSFT,25.21311475409836
NEE,AAPL,29.821370072663306
AAPL,NFLX,31.240024882673563
ABT,NFLX,28.27777777777778
NKE,ABT,23.231884057971016
NVDA,AAPL,33.239301087893324
AAPL,ORCL,25.736689427533303
ORCL,ABT,24.32075471698113
ABT,PEP,25.676056338028168
AAPL,PFE,29.753368630275126
AAPL,PG,27.49497385042333
ABT,PG,25.24137931034483
QCOM,AAPL,26.391679664738014
ABT,QCOM,20.472727272727273
RTX,AAPL,29.561798273555812
AAPL,T,34.88407369813001
ABT,T,35.241379310344826
TMO,ABT,25.253968253968253
TXN,AAPL,26.198855427216934
UNH,AAPL,29.741195568907425
ABT,UNH,21.609375
VZ,ABT,26.125
AAPL,WMT,31.277284479850547
ABT,WMT,28.0
XOM,ABT,29.338983050847457
GLD,AAPL,33.5487827779469
GLD,ABT,31.05291005291005
SLV,ABT,38.945454545454545
AAPL,ACN,26.70829536151543
AAPL,ADBE,29.377911995387556
ACN,ADBE,20.069182389937104
AMZN,ACN,17.22222222222222
BMY,ACN,37.8
AAPL,BRK-B,30.721274290737668
BRK-B,ACN,25.0
CMCSA,AAPL,29.77206399272973
ACN,CMCSA,28.661538461538463
COST,ACN,30.906432748538013
CRM,ACN,17.234920634920634
AAPL,CSCO,28.04265310707596
ACN,CSCO,31.973118279569892
CVX,ACN,27.966666666666665
DHR,AAPL,27.131629465889375
DHR,ACN,19.436363636363637
DIS,ACN,16.392156862745097
GOOGL,AAPL,25.52421939410662
GOOGL,ACN,23.019607843137255
HON,ACN,22.74
INTC,ACN,25.0
ACN,JNJ,19.88235294117647
ACN,LIN,33.01587301587302
LLY,AAPL,28.36054730827141
LLY,ACN,27.280701754385966
AAPL,MA,28.09281965142989
MA,ACN,26.11111111111111
MCD,AAPL,29.006912470828986
MCD,ACN,27.64814814814815
ACN,MDT,29.986301369863014
MSFT,AAPL,24.431982179403224
MSFT,ACN,37.0
NEE,ACN,31.65
NKE,AAPL,25.78700380162357
NVDA,ACN,35.7962962962963
PEP,AAPL,28.08077200379526
ACN,PEP,27.36842105263158
PFE,AAPL,31.78112107734927
ACN,PG,33.25
AAPL,QCOM,23.898693755998064
QCOM,ACN,23.0188679245283
ACN,RTX,23.553571428571427
ACN,T,38.52777777777778
AAPL,TMO,30.013578394849574
ACN,TMO,24.26153846153846
AAPL,TXN,24.076804540360527
ACN,TXN,21.579710144927535
